CDM_base_stock$897efb1fcb4d6a3bed6232ed3364549f79c1b4e1,ammoniums_100x_stock$179d96a96be2fd91570fec5a8ec05b4b43c9466a,dl_alanine_100x_stock$4cfb18cd4b0abb192ec0fb3aca013fcc3729e5c0,glycine_100x_stock$f52c792bd6ddec7b5a6ae77024765f087d4f216a,l_arginine_100x_stock$a37c7aa77cd0c765020073ee86be5e0dbece590b,l_asparagine_100x_stock$8eb1a9db7439bed463e08d4a574f9c953902bf29,l_aspartic_acid_45x_stock$d2dc6cd063e94c64cc014cc07e92679e88824a46,l_cysteine_100x_stock$c7a506f8452ff6168be7cf599a0705b1d017fadb,l_glutamic_acid_75x_stock$0f3ec535dfc6f16cf45e2ac498601e55c256acb9,l_glutamine_100x_stock$25708d5948f2df6159988468bf1bccf5d8474265,l_histidine_100x_stock$ca71fdf56c08f62280ab3454887a30dbfe3f2bc4,l_isoleucine_100x_stock$b388d98c73f971862aab170a3da860b8bc9b0536,l_leucine_100x_stock$fc6227b8b1248d024519032120b358969ac694cb,l_lysine_100x_stock$a046f3e62a2386ad4c1c0da75c8a7857dcb50eee,l_methionine_100x_stock$13e793479753849851e805b1a3389caff2420331,l_phenylalanine_100x_stock$39ee5c5224cead594b73409c6d579d668bb05d48,l_serine_100x_stock$05a0404786f52394b37a515a76a526a04fe9ea3d,l_threonine_100x_stock$1ba2280b0b0ed51e706282a9a5e177b3085b0699,l_tryptophan_100x_stock$06a982a62949435fae1a8873a86334c1ec8e9543,l_tyrosine_100x_stock$9c385abe25bd3ebb45e6347c0823aa3f33ad976b,l_valine_100x_stock$bb5fa4b0d9e4a6618764d4998e8dc381a7e53f38,prolines_100x_stock$be7aa57a9d3216b047a573b05180904e1100f4d5,water
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,19.8
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,20.6
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,19.8
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,22.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
