CDM_base_stock$3a34e29225a28c4aa9fdf8f75f4062f10b733bd8,ammoniums_100x_stock$446e1ce00ab252f32692df2241b2bf0da222ef89,dl_alanine_100x_stock$4eed92fb7a9e8f07295aa689ed91d20286efbbd8,glycine_100x_stock$71bcf2413c696cbb34d61d6dfeea168fcabeb50d,l_arginine_100x_stock$3c2d2f0e06c4acbb7844871ba7deff6b369d5597,l_asparagine_100x_stock$031aebd310a7d2e891a5fdf91b0d31cc22b7c218,l_aspartic_acid_45x_stock$bc86ab2deea0303add4d7df77c7c44ab79edeb32,l_cysteine_100x_stock$09b17143adaef0fed86d720485ec0c7e70fc5e78,l_glutamic_acid_75x_stock$64a4c6ab4075487dbd588c4a006e340cd21b92ac,l_glutamine_100x_stock$1c81674aca8dac232679181ff2089016c27455e7,l_histidine_100x_stock$bf5f58d18343ced65c7580bc61ccbf172bae42a0,l_isoleucine_100x_stock$64ddfadcf007b2beff309f8614304816f31a4f28,l_leucine_100x_stock$6e4d7c19e74611266e44ce243d88ff79bf848f6d,l_lysine_100x_stock$231bfb744739abcf164519b6ea5820ba87ae9c1c,l_methionine_100x_stock$10a735c4aff55d2924a76a3c6725ca2e00e1d8ef,l_phenylalanine_100x_stock$b8c9e375ae56e111958e82a5f122bbee29effd17,l_serine_100x_stock$7995160ad3c4536b1dd0e407c7fdc8dd972f1989,l_threonine_100x_stock$c4b091d9619053d7ec248a3628a47a108decc74e,l_tryptophan_100x_stock$dc5ce64ab08ab343986397577608e157e575df4a,l_tyrosine_100x_stock$b156fdea337b2dceb72d296a9ad68e84deaca01d,l_valine_100x_stock$8d38dc7f83d32a1ea056add5afe986e68b36d44d,prolines_100x_stock$13c6629304138abbf6eb2d13f995022115abad86,water
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,19.8
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.0,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
39.6,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,21.7
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.8,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,19.8
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.8,0.0,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.4
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,21.3
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.0,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.0,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.8,0.0,1.8,0.8,1.1,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,21.3
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.0,22.1
