CDM_base_stock$10a2d0758e864ebd4d8bd0822878e8571860e1a1,ammoniums_100x_stock$b11b58fe58993c5dd12f85c2ee54f3ad3f0f21f5,dl_alanine_100x_stock$061da06e8b69ca28bd5e59260c1a4314b7f4e80c,glycine_100x_stock$720b6c35b720f0b0de6f2672ef8ba693049d2040,l_arginine_100x_stock$c065df3b7862655ac36a5ece87b6f1619b7b0af3,l_asparagine_100x_stock$2cec08ac0729bd8cabc3bc40e65d7c149f67f550,l_aspartic_acid_45x_stock$f34b79d904e94195e5efaa0c8c3f8bcdb616c211,l_cysteine_100x_stock$bde88fc6b4e4e8400f73c3f7619fc616266e22e5,l_glutamic_acid_75x_stock$9c2607c7c6ae3c65edaf4e2c4b6195276c42e8d3,l_glutamine_100x_stock$bbfb6ea00b9b243e71712a8022789dab0e8aab98,l_histidine_100x_stock$50e6b0f6453cf429bd0002f90b06a9fcb1618535,l_isoleucine_100x_stock$c3ce588cd0cdec87c68a089a34a9c7f1bac9ebde,l_leucine_100x_stock$bd18b87b8bc3497005c5dbe54df641a11132bd73,l_lysine_100x_stock$bdd7e5ae40bd677d0d22adcf943aece0f350b010,l_methionine_100x_stock$563fb478840ef323cc6a2171952fc8653f7c802d,l_phenylalanine_100x_stock$d279f0d174c42d8df0a44c0ed02bcf50821fd4c3,l_serine_100x_stock$c1f96b2988613c5341b6d0466febc03fbd58fd0f,l_threonine_100x_stock$32d81ea7613fed8015bdf95936c8fed64c1b8fcf,l_tryptophan_100x_stock$6b91e2aa075bb7cbce4175e3cfc2f2899c05e6d1,l_tyrosine_100x_stock$9e051c0708a756ac905c17176d16ba7339ec749a,l_valine_100x_stock$ca16eecaef78980ae5838570ec7aa055c2d38204,prolines_100x_stock$efaf4079e7ab9055b37b5799ffa0db51b6faaed0,water
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
40.0,0.1,0.8,0.0,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,23.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,23.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,0.0,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,23.1
40.0,0.1,0.0,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,22.1
40.0,0.1,0.8,0.8,0.8,0.8,1.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8,22.1
